Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,3.14693,https://leetcode.com/problems/two-sum
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,2.12899,https://leetcode.com/problems/longest-substring-without-repeating-characters
20,Valid Parentheses,"String, Stack",39.1%,Easy,8.26575,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,3.02535,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,17.2366,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,6.00756,https://leetcode.com/problems/merge-k-sorted-lists
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,2.09306,https://leetcode.com/problems/search-in-rotated-sorted-array
49,Group Anagrams,"Hash Table, String",57.3%,Medium,15.1527,https://leetcode.com/problems/group-anagrams
56,Merge Intervals,"Array, Sort",39.5%,Medium,18.8225,https://leetcode.com/problems/merge-intervals
88,Merge Sorted Array,"Array, Two Pointers",39.6%,Easy,4.19157,https://leetcode.com/problems/merge-sorted-array
98,Validate Binary Search Tree,"Tree, Depth-first Search",27.9%,Medium,11.6052,https://leetcode.com/problems/validate-binary-search-tree
125,Valid Palindrome,"Two Pointers, String",36.9%,Easy,25.3214,https://leetcode.com/problems/valid-palindrome
146,LRU Cache,Design,33.5%,Medium,11.6721,https://leetcode.com/problems/lru-cache
150,Evaluate Reverse Polish Notation,Stack,36.6%,Medium,9.61656,https://leetcode.com/problems/evaluate-reverse-polish-notation
206,Reverse Linked List,Linked List,63.0%,Easy,12.3383,https://leetcode.com/problems/reverse-linked-list
228,Summary Ranges,Array,39.7%,Medium,21.3209,https://leetcode.com/problems/summary-ranges
279,Perfect Squares,"Math, Dynamic Programming, Breadth-first Search",47.6%,Medium,5.50362,https://leetcode.com/problems/perfect-squares
281,Zigzag Iterator,Design,58.6%,Medium,100.0,https://leetcode.com/problems/zigzag-iterator
283,Move Zeroes,"Array, Two Pointers",58.0%,Easy,43.4998,https://leetcode.com/problems/move-zeroes
332,Reconstruct Itinerary,"Depth-first Search, Graph",36.9%,Medium,9.43132,https://leetcode.com/problems/reconstruct-itinerary
350,Intersection of Two Arrays II,"Hash Table, Two Pointers, Binary Search, Sort",51.5%,Easy,3.55367,https://leetcode.com/problems/intersection-of-two-arrays-ii
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",47.7%,Medium,38.1501,https://leetcode.com/problems/insert-delete-getrandom-o1
392,Is Subsequence,"Binary Search, Dynamic Programming, Greedy",49.2%,Easy,6.24274,https://leetcode.com/problems/is-subsequence
443,String Compression,String,41.5%,Easy,8.85428,https://leetcode.com/problems/string-compression
487,Max Consecutive Ones II,Two Pointers,48.4%,Medium,71.7499,https://leetcode.com/problems/max-consecutive-ones-ii
560,Subarray Sum Equals K,"Array, Hash Table",43.8%,Medium,2.52108,https://leetcode.com/problems/subarray-sum-equals-k
567,Permutation in String,"Two Pointers, Sliding Window",44.4%,Medium,9.17793,https://leetcode.com/problems/permutation-in-string
933,Number of Recent Calls,Queue,72.3%,Easy,19.1649,https://leetcode.com/problems/number-of-recent-calls
1004,Max Consecutive Ones III,"Two Pointers, Sliding Window",59.4%,Medium,27.0714,https://leetcode.com/problems/max-consecutive-ones-iii
